order_date,ship_date,ship_mode,segment,country,city,state,region,category,sub_category,sales,quantity,discount,profit
2014-01-06,2014-01-10,Standard Class,Home Office,United States,Henderson,Kentucky,South,Furniture,Chairs,2573.82,9,0.0,746.4078
2014-01-07,2014-01-12,Standard Class,Consumer,United States,Huntsville,Texas,Central,Furniture,Furnishings,76.728,3,0.6,-53.7096
2014-01-10,2014-01-15,Standard Class,Corporate,United States,Springfield,Virginia,South,Furniture,Furnishings,51.94,1,0.0,21.2954
2014-01-11,2014-01-14,First Class,Consumer,United States,Dover,Delaware,East,Furniture,Furnishings,9.94,2,0.0,3.0814
2014-01-13,2014-01-16,Second Class,Consumer,United States,Mount Pleasant,South Carolina,South,Furniture,Chairs,545.94,6,0.0,87.3504
2014-01-13,2014-01-18,Standard Class,Consumer,United States,San Francisco,California,West,Furniture,Bookcases,333.999,3,0.15,3.9294
2014-01-14,2014-01-15,First Class,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,61.96,4,0.5,-53.2856
2014-01-16,2014-01-18,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,127.104,6,0.2,28.5984
2014-01-19,2014-01-20,First Class,Consumer,United States,Scottsdale,Arizona,West,Furniture,Bookcases,181.47,5,0.7,-320.597
2014-01-20,2014-01-26,Standard Class,Consumer,United States,Westland,Michigan,Central,Furniture,Furnishings,272.94,3,0.0,30.0234
2014-01-20,2014-01-26,Standard Class,Consumer,United States,Westland,Michigan,Central,Furniture,Furnishings,14.73,3,0.0,4.8609
2014-01-20,2014-01-26,Standard Class,Consumer,United States,Jonesboro,Arkansas,South,Furniture,Furnishings,38.6,4,0.0,11.58
2014-01-20,2014-01-25,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,19.3,2,0.0,5.79
2014-01-20,2014-01-26,Standard Class,Consumer,United States,Jonesboro,Arkansas,South,Furniture,Chairs,1067.94,3,0.0,224.2674
2014-01-21,2014-01-23,Second Class,Consumer,United States,Miami,Florida,South,Furniture,Furnishings,25.248,3,0.2,4.1028
2014-01-26,2014-01-29,First Class,Corporate,United States,Rapid City,South Dakota,Central,Furniture,Bookcases,141.96,2,0.0,39.7488
2014-01-26,2014-01-31,Standard Class,Home Office,United States,Alexandria,Virginia,South,Furniture,Furnishings,12.42,3,0.0,4.4712
2014-01-26,2014-01-31,Standard Class,Home Office,United States,Alexandria,Virginia,South,Furniture,Furnishings,62.82,3,0.0,30.7818
2014-01-27,2014-02-02,Standard Class,Consumer,United States,San Diego,California,West,Furniture,Tables,333.0,3,0.2,-16.65
2014-01-31,2014-02-02,First Class,Consumer,United States,Mission Viejo,California,West,Furniture,Bookcases,290.666,2,0.15,3.4196
2014-02-08,2014-02-09,First Class,Home Office,United States,North Las Vegas,Nevada,West,Furniture,Furnishings,14.56,2,0.0,5.5328
2014-02-11,2014-02-15,Second Class,Consumer,United States,Columbia,Missouri,Central,Furniture,Chairs,60.89,1,0.0,15.2225
2014-02-11,2014-02-15,Standard Class,Consumer,United States,Chesapeake,Virginia,South,Furniture,Tables,1256.22,6,0.0,75.3732
2014-02-11,2014-02-15,Second Class,Consumer,United States,Columbia,Missouri,Central,Furniture,Furnishings,332.94,3,0.0,53.2704
2014-02-12,2014-02-18,Standard Class,Consumer,United States,Concord,California,West,Furniture,Chairs,129.568,2,0.2,-24.294
2014-02-18,2014-02-18,Same Day,Consumer,United States,Lubbock,Texas,Central,Furniture,Furnishings,25.16,5,0.6,-11.322
